id,created_at,content,url,media,replies_count,reblogs_count,favourites_count
117063155226329500,2026-08-09T02:19:52.589Z,Trump gets immigration victory as federal judge clears path to end Haiti TPS following Supreme Court ruling: https://nypost.com/2026/08/05/us-news/trump-gets-immigration-victory-as-federal-judge-clears-path-to-end-haiti-tps/,https://truthsocial.com/@realDonaldTrump/117063155226329500,,446,2915,12764
117063154145033716,2026-08-09T02:19:36.089Z,EXCLUSIVE: White House Launches Fraud Website To Highlight Successes Of TaskÂ Force: https://www.dailywire.com/news/exclusive-white-house-launches-fraud-website-to-highlight-successes-of-task-force,https://truthsocial.com/@realDonaldTrump/117063154145033716,,347,2779,11774
117062801672258297,2026-08-09T00:49:57.783Z,,https://truthsocial.com/@realDonaldTrump/117062801672258297,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/062/801/226/536/968/original/9b150162b1929719.jpg,526,2173,10768
117062728016276280,2026-08-09T00:31:13.882Z,Trump Aberdeen!,https://truthsocial.com/@realDonaldTrump/117062728016276280,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/062/723/510/156/119/original/281fdb86cc057d22.jpg,649,2583,12837
117061655895656555,2026-08-08T19:58:34.618Z,RT: https://truthsocial.com/users/mrddmia/statuses/117060035123254425Very true! President DJT,https://truthsocial.com/@realDonaldTrump/117061655895656555,,899,3301,13651
117061633436594617,2026-08-08T19:52:51.920Z,Great Poll Numbers. Thank You!!! President DJT,https://truthsocial.com/@realDonaldTrump/117061633436594617,,1216,3012,15528
117061628394581449,2026-08-08T19:51:34.985Z,Cash is king: Washington Republicans bankroll midterms as National Democrat coffers are in the red: https://justthenews.com/politics-policy/elections/cash-king-republicans-bankroll-midterms-democrat-coffers-are-red,https://truthsocial.com/@realDonaldTrump/117061628394581449,,550,2902,12971
117061626683883531,2026-08-08T19:51:08.881Z,"More than 600,000 voter files ripped off Arizona site in 2020 by hacker, but DOJ didn't prosecute: https://justthenews.com/government/courts-law/6amhundreds-thousands-voter-files-were-hacked-arizona-2020-doj-declined",https://truthsocial.com/@realDonaldTrump/117061626683883531,,1074,5123,13583
117061625172029469,2026-08-08T19:50:45.813Z,New evidence further undermines claim that 2020 election was âmost secureâ in history: https://justthenews.com/politics-policy/elections/new-evidence-further-undermines-claim-2020-election-was-most-secure,https://truthsocial.com/@realDonaldTrump/117061625172029469,,728,3964,12878
117060987719435030,2026-08-08T17:08:39.059Z,,https://truthsocial.com/@realDonaldTrump/117060987719435030,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/061/064/961/695/036/original/25a57898aab4f2a0.mp4,3997,4930,14236
117059578415762701,2026-08-08T11:10:14.793Z,RT: https://truthsocial.com/users/realDonaldTrump/statuses/117059577812036128,https://truthsocial.com/@realDonaldTrump/117059578415762701,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/059/578/279/711/991/original/efa0f66eedf3d7d5.png,3194,7082,20001
